PAIS;Equipo;Marca;Site;Ubicación;Device Name;IP;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Centro de computos;SWTUN13-CPD;10.133.42.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Operaciones;SWTUN14-OPERACIONES;10.133.42.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Hidroteca;SWTUN15-HIDROTECA;10.133.42.15;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Filtros;SWTUN16-FILTROS;10.133.42.16;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Mantenimiento;SWTUN17-MANTENIMIENTO;10.133.42.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Caladora;SWMTACALA-17;10.133.46.17;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Tres Arroyos;Centro de Computos;RO2851MTA;10.133.46.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Centro de Computos;SWMTACPD00-11;10.133.46.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Centro de Computos;SWMTACPD00-12;10.133.46.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Centro de Computos;SWMTACPD02-13;10.133.46.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Centro de Computos;SWMTACPD03-14;10.133.46.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Malteria;SWMTAMALT-19;10.133.46.19;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Obrador;SWMTAOBRA-15;10.133.46.15;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Porteria;SWMTAPORT-16;10.133.46.16;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Porteria Ameghino;SWMTAPort-Ameguino;10.133.46.23;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Servicio;SWMTASERV-18;10.133.46.18;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Servicio;SWMTASERV-2;10.133.46.22;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Tres Arroyos;Silo;SWMTASILO-20;10.133.46.20;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Caja;SW-CAJA;10.133.28.18;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Planta Nestle;Centro Computos;RO1800NST;10.133.28.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Centro Computos;SWNSTCPD00;10.133.28.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Centro Computos;SW-CPD01;10.133.28.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Centro Computos;SW-CPD02;10.133.28.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Centro Computos;SW-CPD04;10.133.28.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Despacho;SW-DESPACHO;10.133.28.16;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Logistica;SW-Prod2815;10.133.28.15;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Planta;SW-Prod2819;10.133.28.19;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Produccion;SW-LOGISTICA;10.133.28.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Produccion;SW-PLANTA-NWA;10.133.28.20;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Nestle;Produccion;SW-BACKUP1;10.133.28.22;;;;;;;;;;;;;;;;;
Argentina;Router;Cisco;Ventas Cordoba;Centro Computos;RO2851OVCBA;10.133.39.10;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Ventas Cordoba;Centro Computos;SWCBACPD01-OV;10.133.39.11;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Ventas Cordoba;Centro Computos;SWCBACPD02-OV;10.133.39.12;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Ventas Cordoba;Centro Computos;SWCBACPD03-OV;10.133.39.13;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Cordoba;Vigilancia;SWCBACYP;10.133.26.18;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Tunuyan;Porteria;SWTUN18-PORTERIA;10.133.42.18;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Balanza;SWMZABALAN;10.133.14.17;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Balanza;SWMZABALAN2;10.133.14.23;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Botelleria;SWMZABOT;10.133.14.22;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Cocimiento;SWMZACOCIM;10.133.14.20;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Efluente;SWMZAEFLU;10.133.14.21;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Elaboracion;SWMZAELAB;10.133.14.14;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Elaboracion;SWMZAELAB02;10.133.14.15;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;GLP;SWMZAGLPGAS;10.133.14.16;;;;;;;;;;;;;;;;;
Argentina;Switch;Cisco;Planta Mendoza;Mantenimiento;SWMZAMANT;10.133.14.12;;;;;;;;;;;;;;;;;
